Comment[ENA_RUN],Source Name,Comment[ENA_SAMPLE],Characteristics[organism],Characteristics[strain],Characteristics[developmental stage],Characteristics[organism part],Characteristics[cell type],Characteristics[division pattern],Characteristics[single cell well quality],Characteristics[batch],Material Type,Protocol REF,Protocol REF.1,Protocol REF.2,Extract Name,Material Type.1,Comment[LIBRARY_LAYOUT],Comment[LIBRARY_SELECTION],Comment[LIBRARY_SOURCE],Comment[LIBRARY_STRAND],Comment[LIBRARY_STRATEGY],Comment[NOMINAL_LENGTH],Comment[NOMINAL_SDEV],Comment[single cell isolation],Comment[library construction],Comment[end bias],Comment[input molecule],Comment[primer],Comment[spike in],Comment[spike in dilution],Comment[spike sequence file],Comment[spike concentration file],Protocol REF.3,Performer,Assay Name,Technology Type,Comment[ENA_EXPERIMENT],Scan Name,Comment[SUBMITTED_FILE_NAME],Comment[FASTQ_URI],Comment[SPOT_LENGTH],Comment[READ_INDEX_1_BASE_COORD],Derived Array Data File,Comment [Derived ArrayExpress FTP file],Factor Value[developmental stage],Factor Value[division pattern],Factor Value[single cell identifier],ct
ERR1229132,2cell_1_A,ERS1043823,Mus musculus,C57BL/6 x CBA,cleavage 2-cell,embryo,blastoderm cell,not applicable,OK,1,cell,P-MTAB-43329,  ,P-MTAB-43332,2cell_1_A,RNA,PAIRED,cDNA,TRANSCRIPTOMIC,not applicable,RNA-Seq,450,100,other,smart-seq2,none,polyA RNA,oligo-dT,ERCC,1:250000,E-MTAB-3321_spike_in_sequences.fa,E-MTAB-3321_spike_in_concentration.txt,P-MTAB-43331,Iain Macaulay,Goolam_et_al_2015_Batch1_Sample1_,sequencing assay,ERX1301184,Goolam_et_al_2015_Batch1_Sample1_1.fq.gz,Goolam_et_al_2015_Batch1_Sample1_1.fq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/002/ERR1229132/ERR1229132_1.fastq.gz,200,101,Goolam_et_al_2015_count_table.tsv,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3321/E-MTAB-3321.processed.1.zip,cleavage 2-cell,not applicable,2cell_1_A,2C
ERR1229132,2cell_1_A,ERS1043823,Mus musculus,C57BL/6 x CBA,cleavage 2-cell,embryo,blastoderm cell,not applicable,OK,1,cell,P-MTAB-43329,  ,P-MTAB-43332,2cell_1_A,RNA,PAIRED,cDNA,TRANSCRIPTOMIC,not applicable,RNA-Seq,450,100,other,smart-seq2,none,polyA RNA,oligo-dT,ERCC,1:250000,E-MTAB-3321_spike_in_sequences.fa,E-MTAB-3321_spike_in_concentration.txt,P-MTAB-43331,Iain Macaulay,Goolam_et_al_2015_Batch1_Sample1_,sequencing assay,ERX1301184,Goolam_et_al_2015_Batch1_Sample1_2.fq.gz,Goolam_et_al_2015_Batch1_Sample1_2.fq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/002/ERR1229132/ERR1229132_2.fastq.gz,200,101,Goolam_et_al_2015_count_table.tsv,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3321/E-MTAB-3321.processed.1.zip,cleavage 2-cell,not applicable,2cell_1_A,2C
ERR1229133,2cell_1_B,ERS1043824,Mus musculus,C57BL/6 x CBA,cleavage 2-cell,embryo,blastoderm cell,not applicable,OK,1,cell,P-MTAB-43329,  ,P-MTAB-43332,2cell_1_B,RNA,PAIRED,cDNA,TRANSCRIPTOMIC,not applicable,RNA-Seq,450,100,other,smart-seq2,none,polyA RNA,oligo-dT,ERCC,1:250000,E-MTAB-3321_spike_in_sequences.fa,E-MTAB-3321_spike_in_concentration.txt,P-MTAB-43331,Iain Macaulay,Goolam_et_al_2015_Batch1_Sample13_,sequencing assay,ERX1301185,Goolam_et_al_2015_Batch1_Sample13_1.fq.gz,Goolam_et_al_2015_Batch1_Sample13_1.fq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/003/ERR1229133/ERR1229133_1.fastq.gz,200,101,Goolam_et_al_2015_count_table.tsv,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3321/E-MTAB-3321.processed.1.zip,cleavage 2-cell,not applicable,2cell_1_B,2C
ERR1229133,2cell_1_B,ERS1043824,Mus musculus,C57BL/6 x CBA,cleavage 2-cell,embryo,blastoderm cell,not applicable,OK,1,cell,P-MTAB-43329,  ,P-MTAB-43332,2cell_1_B,RNA,PAIRED,cDNA,TRANSCRIPTOMIC,not applicable,RNA-Seq,450,100,other,smart-seq2,none,polyA RNA,oligo-dT,ERCC,1:250000,E-MTAB-3321_spike_in_sequences.fa,E-MTAB-3321_spike_in_concentration.txt,P-MTAB-43331,Iain Macaulay,Goolam_et_al_2015_Batch1_Sample13_,sequencing assay,ERX1301185,Goolam_et_al_2015_Batch1_Sample13_2.fq.gz,Goolam_et_al_2015_Batch1_Sample13_2.fq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/003/ERR1229133/ERR1229133_2.fastq.gz,200,101,Goolam_et_al_2015_count_table.tsv,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3321/E-MTAB-3321.processed.1.zip,cleavage 2-cell,not applicable,2cell_1_B,2C
ERR1229134,2cell_2_A,ERS1043825,Mus musculus,C57BL/6 x CBA,cleavage 2-cell,embryo,blastoderm cell,not applicable,OK,1,cell,P-MTAB-43329,  ,P-MTAB-43332,2cell_2_A,RNA,PAIRED,cDNA,TRANSCRIPTOMIC,not applicable,RNA-Seq,450,100,other,smart-seq2,none,polyA RNA,oligo-dT,ERCC,1:250000,E-MTAB-3321_spike_in_sequences.fa,E-MTAB-3321_spike_in_concentration.txt,P-MTAB-43331,Iain Macaulay,Goolam_et_al_2015_Batch1_Sample25_,sequencing assay,ERX1301186,Goolam_et_al_2015_Batch1_Sample25_1.fq.gz,Goolam_et_al_2015_Batch1_Sample25_1.fq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/004/ERR1229134/ERR1229134_1.fastq.gz,200,101,Goolam_et_al_2015_count_table.tsv,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3321/E-MTAB-3321.processed.1.zip,cleavage 2-cell,not applicable,2cell_2_A,2C
ERR1229134,2cell_2_A,ERS1043825,Mus musculus,C57BL/6 x CBA,cleavage 2-cell,embryo,blastoderm cell,not applicable,OK,1,cell,P-MTAB-43329,  ,P-MTAB-43332,2cell_2_A,RNA,PAIRED,cDNA,TRANSCRIPTOMIC,not applicable,RNA-Seq,450,100,other,smart-seq2,none,polyA RNA,oligo-dT,ERCC,1:250000,E-MTAB-3321_spike_in_sequences.fa,E-MTAB-3321_spike_in_concentration.txt,P-MTAB-43331,Iain Macaulay,Goolam_et_al_2015_Batch1_Sample25_,sequencing assay,ERX1301186,Goolam_et_al_2015_Batch1_Sample25_2.fq.gz,Goolam_et_al_2015_Batch1_Sample25_2.fq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/004/ERR1229134/ERR1229134_2.fastq.gz,200,101,Goolam_et_al_2015_count_table.tsv,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3321/E-MTAB-3321.processed.1.zip,cleavage 2-cell,not applicable,2cell_2_A,2C
ERR1229135,2cell_2_B,ERS1043826,Mus musculus,C57BL/6 x CBA,cleavage 2-cell,embryo,blastoderm cell,not applicable,OK,1,cell,P-MTAB-43329,  ,P-MTAB-43332,2cell_2_B,RNA,PAIRED,cDNA,TRANSCRIPTOMIC,not applicable,RNA-Seq,450,100,other,smart-seq2,none,polyA RNA,oligo-dT,ERCC,1:250000,E-MTAB-3321_spike_in_sequences.fa,E-MTAB-3321_spike_in_concentration.txt,P-MTAB-43331,Iain Macaulay,Goolam_et_al_2015_Batch1_Sample37_,sequencing assay,ERX1301187,Goolam_et_al_2015_Batch1_Sample37_1.fq.gz,Goolam_et_al_2015_Batch1_Sample37_1.fq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/005/ERR1229135/ERR1229135_1.fastq.gz,200,101,Goolam_et_al_2015_count_table.tsv,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3321/E-MTAB-3321.processed.1.zip,cleavage 2-cell,not applicable,2cell_2_B,2C
ERR1229135,2cell_2_B,ERS1043826,Mus musculus,C57BL/6 x CBA,cleavage 2-cell,embryo,blastoderm cell,not applicable,OK,1,cell,P-MTAB-43329,  ,P-MTAB-43332,2cell_2_B,RNA,PAIRED,cDNA,TRANSCRIPTOMIC,not applicable,RNA-Seq,450,100,other,smart-seq2,none,polyA RNA,oligo-dT,ERCC,1:250000,E-MTAB-3321_spike_in_sequences.fa,E-MTAB-3321_spike_in_concentration.txt,P-MTAB-43331,Iain Macaulay,Goolam_et_al_2015_Batch1_Sample37_,sequencing assay,ERX1301187,Goolam_et_al_2015_Batch1_Sample37_2.fq.gz,Goolam_et_al_2015_Batch1_Sample37_2.fq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/005/ERR1229135/ERR1229135_2.fastq.gz,200,101,Goolam_et_al_2015_count_table.tsv,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3321/E-MTAB-3321.processed.1.zip,cleavage 2-cell,not applicable,2cell_2_B,2C
ERR1229136,2cell_3_A,ERS1043827,Mus musculus,C57BL/6 x CBA,cleavage 2-cell,embryo,blastoderm cell,not applicable,OK,1,cell,P-MTAB-43329,  ,P-MTAB-43332,2cell_3_A,RNA,PAIRED,cDNA,TRANSCRIPTOMIC,not applicable,RNA-Seq,450,100,other,smart-seq2,none,polyA RNA,oligo-dT,ERCC,1:250000,E-MTAB-3321_spike_in_sequences.fa,E-MTAB-3321_spike_in_concentration.txt,P-MTAB-43331,Iain Macaulay,Goolam_et_al_2015_Batch1_Sample49_,sequencing assay,ERX1301188,Goolam_et_al_2015_Batch1_Sample49_1.fq.gz,Goolam_et_al_2015_Batch1_Sample49_1.fq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/006/ERR1229136/ERR1229136_1.fastq.gz,200,101,Goolam_et_al_2015_count_table.tsv,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3321/E-MTAB-3321.processed.1.zip,cleavage 2-cell,not applicable,2cell_3_A,2C
ERR1229136,2cell_3_A,ERS1043827,Mus musculus,C57BL/6 x CBA,cleavage 2-cell,embryo,blastoderm cell,not applicable,OK,1,cell,P-MTAB-43329,  ,P-MTAB-43332,2cell_3_A,RNA,PAIRED,cDNA,TRANSCRIPTOMIC,not applicable,RNA-Seq,450,100,other,smart-seq2,none,polyA RNA,oligo-dT,ERCC,1:250000,E-MTAB-3321_spike_in_sequences.fa,E-MTAB-3321_spike_in_concentration.txt,P-MTAB-43331,Iain Macaulay,Goolam_et_al_2015_Batch1_Sample49_,sequencing assay,ERX1301188,Goolam_et_al_2015_Batch1_Sample49_2.fq.gz,Goolam_et_al_2015_Batch1_Sample49_2.fq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR122/006/ERR1229136/ERR1229136_2.fastq.gz,200,101,Goolam_et_al_2015_count_table.tsv,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3321/E-MTAB-3321.processed.1.zip,cleavage 2-cell,not applicable,2cell_3_A,2C
