SRX,!Sample_geo_accession,!Sample_status,!Sample_submission_date,!Sample_last_update_date,!Sample_type,!Sample_channel_count,!Sample_source_name_ch1,!Sample_organism_ch1,!Sample_characteristics_ch1,!Sample_treatment_protocol_ch1,!Sample_growth_protocol_ch1,!Sample_molecule_ch1,!Sample_extract_protocol_ch1,!Sample_extract_protocol_ch1,!Sample_taxid_ch1,!Sample_data_processing,!Sample_data_processing,!Sample_data_processing,!Sample_data_processing,!Sample_platform_id,!Sample_contact_name,!Sample_contact_email,!Sample_contact_laboratory,!Sample_contact_department,!Sample_contact_institute,!Sample_contact_address,!Sample_contact_city,!Sample_contact_state,!Sample_contact_zip/postal_code,!Sample_contact_country,!Sample_data_row_count,!Sample_instrument_model,!Sample_library_selection,!Sample_library_source,!Sample_library_strategy,!Sample_relation,!Sample_relation,!Sample_supplementary_file_1,!series_matrix_table_begin,ID_REF,!series_matrix_table_end,ct
SRX809453,GSM4471993,Public on Jan 09 2022,Apr 10 2020,Jan 09 2022,SRA,1,single cell,Mus musculus,developmental stage: E3.75,Embryos were flushed at E3.75 from uterine horns using flushing using M2. The zona pellucida was removed using acid Tyrode’s solution. Embryos were subjected to immunosurgery. Single-cell dissociation of ICMs was performed in a 1:1 mixture of Accutase and 0.025% trypsin plus 1% chick serum.,"Mice used were intercrosses of PDGFRa::H2B-GFP/+, in which a cassette containing human H2B fused to enhanced green protein (H2B-GFP) was targeted to the Pdgfra locus, and first filial generation (F1) hybrids (C57BL/6JxCBA/J) (Charles River). All embryos used in this study were obtained from natural mating.",total RNA,Dissociated single cells were transferred immediately into Smart-Seq2 single-cell lysis buffer and immediately frozen on dry ice.,Smart-Seq2 library was prepared as described in Picelli S et al. 2014.,10090,STAR alignment,Htseq-count,Genome_build: mm10,Supplementary_files_format_and_content: counts,GPL13112,"Giuliano,Giuseppe,Stirparo",giulianostirparo@gmail.com,Jeffrey Cheah Biomedical Centre,Wellcome MRC Cambridge Stem Cell,University of Cambridge,Puddicombe Way,Cambridge,Cambridgeshire,CB2 0AW,United Kingdom,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN14573721,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX8094539,NONE,,GSM4471993,,E3.75-ICM
SRX809454,GSM4471994,Public on Jan 09 2022,Apr 10 2020,Jan 09 2022,SRA,1,single cell,Mus musculus,developmental stage: E3.75,Embryos were flushed at E3.75 from uterine horns using flushing using M2. The zona pellucida was removed using acid Tyrode’s solution. Embryos were subjected to immunosurgery. Single-cell dissociation of ICMs was performed in a 1:1 mixture of Accutase and 0.025% trypsin plus 1% chick serum.,"Mice used were intercrosses of PDGFRa::H2B-GFP/+, in which a cassette containing human H2B fused to enhanced green protein (H2B-GFP) was targeted to the Pdgfra locus, and first filial generation (F1) hybrids (C57BL/6JxCBA/J) (Charles River). All embryos used in this study were obtained from natural mating.",total RNA,Dissociated single cells were transferred immediately into Smart-Seq2 single-cell lysis buffer and immediately frozen on dry ice.,Smart-Seq2 library was prepared as described in Picelli S et al. 2014.,10090,STAR alignment,Htseq-count,Genome_build: mm10,Supplementary_files_format_and_content: counts,GPL13112,"Giuliano,Giuseppe,Stirparo",giulianostirparo@gmail.com,Jeffrey Cheah Biomedical Centre,Wellcome MRC Cambridge Stem Cell,University of Cambridge,Puddicombe Way,Cambridge,Cambridgeshire,CB2 0AW,United Kingdom,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN14573720,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX8094540,NONE,,GSM4471994,,E3.75-ICM
SRX809454,GSM4471995,Public on Jan 09 2022,Apr 10 2020,Jan 09 2022,SRA,1,single cell,Mus musculus,developmental stage: E3.75,Embryos were flushed at E3.75 from uterine horns using flushing using M2. The zona pellucida was removed using acid Tyrode’s solution. Embryos were subjected to immunosurgery. Single-cell dissociation of ICMs was performed in a 1:1 mixture of Accutase and 0.025% trypsin plus 1% chick serum.,"Mice used were intercrosses of PDGFRa::H2B-GFP/+, in which a cassette containing human H2B fused to enhanced green protein (H2B-GFP) was targeted to the Pdgfra locus, and first filial generation (F1) hybrids (C57BL/6JxCBA/J) (Charles River). All embryos used in this study were obtained from natural mating.",total RNA,Dissociated single cells were transferred immediately into Smart-Seq2 single-cell lysis buffer and immediately frozen on dry ice.,Smart-Seq2 library was prepared as described in Picelli S et al. 2014.,10090,STAR alignment,Htseq-count,Genome_build: mm10,Supplementary_files_format_and_content: counts,GPL13112,"Giuliano,Giuseppe,Stirparo",giulianostirparo@gmail.com,Jeffrey Cheah Biomedical Centre,Wellcome MRC Cambridge Stem Cell,University of Cambridge,Puddicombe Way,Cambridge,Cambridgeshire,CB2 0AW,United Kingdom,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN14573664,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX8094541,NONE,,GSM4471995,,E3.75-ICM
SRX809454,GSM4471996,Public on Jan 09 2022,Apr 10 2020,Jan 09 2022,SRA,1,single cell,Mus musculus,developmental stage: E3.75,Embryos were flushed at E3.75 from uterine horns using flushing using M2. The zona pellucida was removed using acid Tyrode’s solution. Embryos were subjected to immunosurgery. Single-cell dissociation of ICMs was performed in a 1:1 mixture of Accutase and 0.025% trypsin plus 1% chick serum.,"Mice used were intercrosses of PDGFRa::H2B-GFP/+, in which a cassette containing human H2B fused to enhanced green protein (H2B-GFP) was targeted to the Pdgfra locus, and first filial generation (F1) hybrids (C57BL/6JxCBA/J) (Charles River). All embryos used in this study were obtained from natural mating.",total RNA,Dissociated single cells were transferred immediately into Smart-Seq2 single-cell lysis buffer and immediately frozen on dry ice.,Smart-Seq2 library was prepared as described in Picelli S et al. 2014.,10090,STAR alignment,Htseq-count,Genome_build: mm10,Supplementary_files_format_and_content: counts,GPL13112,"Giuliano,Giuseppe,Stirparo",giulianostirparo@gmail.com,Jeffrey Cheah Biomedical Centre,Wellcome MRC Cambridge Stem Cell,University of Cambridge,Puddicombe Way,Cambridge,Cambridgeshire,CB2 0AW,United Kingdom,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN14573663,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX8094542,NONE,,GSM4471996,,E3.75-ICM
SRX809454,GSM4471997,Public on Jan 09 2022,Apr 10 2020,Jan 09 2022,SRA,1,single cell,Mus musculus,developmental stage: E3.75,Embryos were flushed at E3.75 from uterine horns using flushing using M2. The zona pellucida was removed using acid Tyrode’s solution. Embryos were subjected to immunosurgery. Single-cell dissociation of ICMs was performed in a 1:1 mixture of Accutase and 0.025% trypsin plus 1% chick serum.,"Mice used were intercrosses of PDGFRa::H2B-GFP/+, in which a cassette containing human H2B fused to enhanced green protein (H2B-GFP) was targeted to the Pdgfra locus, and first filial generation (F1) hybrids (C57BL/6JxCBA/J) (Charles River). All embryos used in this study were obtained from natural mating.",total RNA,Dissociated single cells were transferred immediately into Smart-Seq2 single-cell lysis buffer and immediately frozen on dry ice.,Smart-Seq2 library was prepared as described in Picelli S et al. 2014.,10090,STAR alignment,Htseq-count,Genome_build: mm10,Supplementary_files_format_and_content: counts,GPL13112,"Giuliano,Giuseppe,Stirparo",giulianostirparo@gmail.com,Jeffrey Cheah Biomedical Centre,Wellcome MRC Cambridge Stem Cell,University of Cambridge,Puddicombe Way,Cambridge,Cambridgeshire,CB2 0AW,United Kingdom,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN14573662,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX8094543,NONE,,GSM4471997,,E3.75-ICM
SRX809454,GSM4471998,Public on Jan 09 2022,Apr 10 2020,Jan 09 2022,SRA,1,single cell,Mus musculus,developmental stage: E3.75,Embryos were flushed at E3.75 from uterine horns using flushing using M2. The zona pellucida was removed using acid Tyrode’s solution. Embryos were subjected to immunosurgery. Single-cell dissociation of ICMs was performed in a 1:1 mixture of Accutase and 0.025% trypsin plus 1% chick serum.,"Mice used were intercrosses of PDGFRa::H2B-GFP/+, in which a cassette containing human H2B fused to enhanced green protein (H2B-GFP) was targeted to the Pdgfra locus, and first filial generation (F1) hybrids (C57BL/6JxCBA/J) (Charles River). All embryos used in this study were obtained from natural mating.",total RNA,Dissociated single cells were transferred immediately into Smart-Seq2 single-cell lysis buffer and immediately frozen on dry ice.,Smart-Seq2 library was prepared as described in Picelli S et al. 2014.,10090,STAR alignment,Htseq-count,Genome_build: mm10,Supplementary_files_format_and_content: counts,GPL13112,"Giuliano,Giuseppe,Stirparo",giulianostirparo@gmail.com,Jeffrey Cheah Biomedical Centre,Wellcome MRC Cambridge Stem Cell,University of Cambridge,Puddicombe Way,Cambridge,Cambridgeshire,CB2 0AW,United Kingdom,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN14573661,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX8094544,NONE,,GSM4471998,,E3.75-ICM
SRX809454,GSM4471999,Public on Jan 09 2022,Apr 10 2020,Jan 09 2022,SRA,1,single cell,Mus musculus,developmental stage: E3.75,Embryos were flushed at E3.75 from uterine horns using flushing using M2. The zona pellucida was removed using acid Tyrode’s solution. Embryos were subjected to immunosurgery. Single-cell dissociation of ICMs was performed in a 1:1 mixture of Accutase and 0.025% trypsin plus 1% chick serum.,"Mice used were intercrosses of PDGFRa::H2B-GFP/+, in which a cassette containing human H2B fused to enhanced green protein (H2B-GFP) was targeted to the Pdgfra locus, and first filial generation (F1) hybrids (C57BL/6JxCBA/J) (Charles River). All embryos used in this study were obtained from natural mating.",total RNA,Dissociated single cells were transferred immediately into Smart-Seq2 single-cell lysis buffer and immediately frozen on dry ice.,Smart-Seq2 library was prepared as described in Picelli S et al. 2014.,10090,STAR alignment,Htseq-count,Genome_build: mm10,Supplementary_files_format_and_content: counts,GPL13112,"Giuliano,Giuseppe,Stirparo",giulianostirparo@gmail.com,Jeffrey Cheah Biomedical Centre,Wellcome MRC Cambridge Stem Cell,University of Cambridge,Puddicombe Way,Cambridge,Cambridgeshire,CB2 0AW,United Kingdom,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN14573666,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX8094545,NONE,,GSM4471999,,E3.75-ICM
SRX809454,GSM4472000,Public on Jan 09 2022,Apr 10 2020,Jan 09 2022,SRA,1,single cell,Mus musculus,developmental stage: E3.75,Embryos were flushed at E3.75 from uterine horns using flushing using M2. The zona pellucida was removed using acid Tyrode’s solution. Embryos were subjected to immunosurgery. Single-cell dissociation of ICMs was performed in a 1:1 mixture of Accutase and 0.025% trypsin plus 1% chick serum.,"Mice used were intercrosses of PDGFRa::H2B-GFP/+, in which a cassette containing human H2B fused to enhanced green protein (H2B-GFP) was targeted to the Pdgfra locus, and first filial generation (F1) hybrids (C57BL/6JxCBA/J) (Charles River). All embryos used in this study were obtained from natural mating.",total RNA,Dissociated single cells were transferred immediately into Smart-Seq2 single-cell lysis buffer and immediately frozen on dry ice.,Smart-Seq2 library was prepared as described in Picelli S et al. 2014.,10090,STAR alignment,Htseq-count,Genome_build: mm10,Supplementary_files_format_and_content: counts,GPL13112,"Giuliano,Giuseppe,Stirparo",giulianostirparo@gmail.com,Jeffrey Cheah Biomedical Centre,Wellcome MRC Cambridge Stem Cell,University of Cambridge,Puddicombe Way,Cambridge,Cambridgeshire,CB2 0AW,United Kingdom,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN14573665,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX8094546,NONE,,GSM4472000,,E3.75-ICM
SRX809454,GSM4472001,Public on Jan 09 2022,Apr 10 2020,Jan 09 2022,SRA,1,single cell,Mus musculus,developmental stage: E3.75,Embryos were flushed at E3.75 from uterine horns using flushing using M2. The zona pellucida was removed using acid Tyrode’s solution. Embryos were subjected to immunosurgery. Single-cell dissociation of ICMs was performed in a 1:1 mixture of Accutase and 0.025% trypsin plus 1% chick serum.,"Mice used were intercrosses of PDGFRa::H2B-GFP/+, in which a cassette containing human H2B fused to enhanced green protein (H2B-GFP) was targeted to the Pdgfra locus, and first filial generation (F1) hybrids (C57BL/6JxCBA/J) (Charles River). All embryos used in this study were obtained from natural mating.",total RNA,Dissociated single cells were transferred immediately into Smart-Seq2 single-cell lysis buffer and immediately frozen on dry ice.,Smart-Seq2 library was prepared as described in Picelli S et al. 2014.,10090,STAR alignment,Htseq-count,Genome_build: mm10,Supplementary_files_format_and_content: counts,GPL13112,"Giuliano,Giuseppe,Stirparo",giulianostirparo@gmail.com,Jeffrey Cheah Biomedical Centre,Wellcome MRC Cambridge Stem Cell,University of Cambridge,Puddicombe Way,Cambridge,Cambridgeshire,CB2 0AW,United Kingdom,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN14573660,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX8094547,NONE,,GSM4472001,,E3.75-ICM
SRX809454,GSM4472002,Public on Jan 09 2022,Apr 10 2020,Jan 09 2022,SRA,1,single cell,Mus musculus,developmental stage: E3.75,Embryos were flushed at E3.75 from uterine horns using flushing using M2. The zona pellucida was removed using acid Tyrode’s solution. Embryos were subjected to immunosurgery. Single-cell dissociation of ICMs was performed in a 1:1 mixture of Accutase and 0.025% trypsin plus 1% chick serum.,"Mice used were intercrosses of PDGFRa::H2B-GFP/+, in which a cassette containing human H2B fused to enhanced green protein (H2B-GFP) was targeted to the Pdgfra locus, and first filial generation (F1) hybrids (C57BL/6JxCBA/J) (Charles River). All embryos used in this study were obtained from natural mating.",total RNA,Dissociated single cells were transferred immediately into Smart-Seq2 single-cell lysis buffer and immediately frozen on dry ice.,Smart-Seq2 library was prepared as described in Picelli S et al. 2014.,10090,STAR alignment,Htseq-count,Genome_build: mm10,Supplementary_files_format_and_content: counts,GPL13112,"Giuliano,Giuseppe,Stirparo",giulianostirparo@gmail.com,Jeffrey Cheah Biomedical Centre,Wellcome MRC Cambridge Stem Cell,University of Cambridge,Puddicombe Way,Cambridge,Cambridgeshire,CB2 0AW,United Kingdom,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN14573703,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX8094548,NONE,,GSM4472002,,E3.75-ICM
