SRX,index,!Sample_geo_accession,!Sample_status,!Sample_submission_date,!Sample_last_update_date,!Sample_type,!Sample_channel_count,!Sample_source_name_ch1,!Sample_organism_ch1,!Sample_characteristics_ch1,!Sample_characteristics_ch1,!Sample_characteristics_ch1,!Sample_growth_protocol_ch1,!Sample_molecule_ch1,!Sample_extract_protocol_ch1,!Sample_extract_protocol_ch1,!Sample_taxid_ch1,!Sample_description,!Sample_data_processing,!Sample_data_processing,!Sample_data_processing,!Sample_data_processing,!Sample_data_processing,!Sample_platform_id,!Sample_contact_name,!Sample_contact_email,!Sample_contact_laboratory,!Sample_contact_department,!Sample_contact_institute,!Sample_contact_address,!Sample_contact_city,!Sample_contact_zip/postal_code,!Sample_contact_country,!Sample_data_row_count,!Sample_instrument_model,!Sample_library_selection,!Sample_library_source,!Sample_library_strategy,!Sample_relation,!Sample_relation,!Sample_supplementary_file_1,!series_matrix_table_begin,ID_REF,!series_matrix_table_end,ct
SRX135532,lateblast_1-13_705_502,GSM1912384,Public on Jul 27 2016,Oct 19 2015,May 15 2019,SRA,1,embryo,Mus musculus,strain: male CAST/EiJ x female C57BL/6J,cell type: E3.5 ICM,Sex: NA,"mESCs were cultured in 2i and LIF as the ground state condition or in serum and LIF as the conventional condition. Epistem cell lines were also generated from the two lines by culturing them with Activin A and FGF2. In order to study more advanced development, we differentiated the two mESC lines through embryonic body formation to postmitotic motor neurons using retinoic acid and the smoothened agonist SAG. This differentiation process also results in the derivation of several types of interneurons.",total RNA,Libraries for RNA-seq were prepared by using SMART-seq2 combined with Tn5 tagementation,,10090,,Illumina Casava1.7 software used for basecalling,RNA-seq reads of each cell were mapped to the mouse reference genome (mm10) using STAR (version 2.4.1),Expression  of genes for each sample was quantified and normalized using Cufflinks and Cuffnorm (version 2.2.1),Genome_build: mm10,Supplementary_files_format_and_content: tab-delimited text files include RPKM values for each sample,GPL13112,"Qiaolin,,Deng",qiaolin.deng@ki.se,Developmental Biology,Cell and Molecular Biology,Karolinska Institutet,Berzelius väg 35,Stockholm,17165,Sweden,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN04195018,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1355322,NONE,,GSM1912384,,E3.5-ICM
SRX135532,lateblast_1-14_706_502,GSM1912385,Public on Jul 27 2016,Oct 19 2015,May 15 2019,SRA,1,embryo,Mus musculus,strain: male CAST/EiJ x female C57BL/6J,cell type: E3.5 ICM,Sex: NA,"mESCs were cultured in 2i and LIF as the ground state condition or in serum and LIF as the conventional condition. Epistem cell lines were also generated from the two lines by culturing them with Activin A and FGF2. In order to study more advanced development, we differentiated the two mESC lines through embryonic body formation to postmitotic motor neurons using retinoic acid and the smoothened agonist SAG. This differentiation process also results in the derivation of several types of interneurons.",total RNA,Libraries for RNA-seq were prepared by using SMART-seq2 combined with Tn5 tagementation,,10090,,Illumina Casava1.7 software used for basecalling,RNA-seq reads of each cell were mapped to the mouse reference genome (mm10) using STAR (version 2.4.1),Expression  of genes for each sample was quantified and normalized using Cufflinks and Cuffnorm (version 2.2.1),Genome_build: mm10,Supplementary_files_format_and_content: tab-delimited text files include RPKM values for each sample,GPL13112,"Qiaolin,,Deng",qiaolin.deng@ki.se,Developmental Biology,Cell and Molecular Biology,Karolinska Institutet,Berzelius väg 35,Stockholm,17165,Sweden,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN04195019,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1355323,NONE,,GSM1912385,,E3.5-ICM
SRX135532,lateblast_1-1_701_501,GSM1912386,Public on Jul 27 2016,Oct 19 2015,May 15 2019,SRA,1,embryo,Mus musculus,strain: male CAST/EiJ x female C57BL/6J,cell type: E3.5 ICM,Sex: NA,"mESCs were cultured in 2i and LIF as the ground state condition or in serum and LIF as the conventional condition. Epistem cell lines were also generated from the two lines by culturing them with Activin A and FGF2. In order to study more advanced development, we differentiated the two mESC lines through embryonic body formation to postmitotic motor neurons using retinoic acid and the smoothened agonist SAG. This differentiation process also results in the derivation of several types of interneurons.",total RNA,Libraries for RNA-seq were prepared by using SMART-seq2 combined with Tn5 tagementation,,10090,,Illumina Casava1.7 software used for basecalling,RNA-seq reads of each cell were mapped to the mouse reference genome (mm10) using STAR (version 2.4.1),Expression  of genes for each sample was quantified and normalized using Cufflinks and Cuffnorm (version 2.2.1),Genome_build: mm10,Supplementary_files_format_and_content: tab-delimited text files include RPKM values for each sample,GPL13112,"Qiaolin,,Deng",qiaolin.deng@ki.se,Developmental Biology,Cell and Molecular Biology,Karolinska Institutet,Berzelius väg 35,Stockholm,17165,Sweden,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN04194946,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1355324,NONE,,GSM1912386,,E3.5-ICM
SRX135532,lateblast_1-4_702_501,GSM1912387,Public on Jul 27 2016,Oct 19 2015,May 15 2019,SRA,1,embryo,Mus musculus,strain: male CAST/EiJ x female C57BL/6J,cell type: E3.5 ICM,Sex: NA,"mESCs were cultured in 2i and LIF as the ground state condition or in serum and LIF as the conventional condition. Epistem cell lines were also generated from the two lines by culturing them with Activin A and FGF2. In order to study more advanced development, we differentiated the two mESC lines through embryonic body formation to postmitotic motor neurons using retinoic acid and the smoothened agonist SAG. This differentiation process also results in the derivation of several types of interneurons.",total RNA,Libraries for RNA-seq were prepared by using SMART-seq2 combined with Tn5 tagementation,,10090,,Illumina Casava1.7 software used for basecalling,RNA-seq reads of each cell were mapped to the mouse reference genome (mm10) using STAR (version 2.4.1),Expression  of genes for each sample was quantified and normalized using Cufflinks and Cuffnorm (version 2.2.1),Genome_build: mm10,Supplementary_files_format_and_content: tab-delimited text files include RPKM values for each sample,GPL13112,"Qiaolin,,Deng",qiaolin.deng@ki.se,Developmental Biology,Cell and Molecular Biology,Karolinska Institutet,Berzelius väg 35,Stockholm,17165,Sweden,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN04194947,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1355325,NONE,,GSM1912387,,E3.5-ICM
SRX135532,lateblast_1-6_703_501,GSM1912388,Public on Jul 27 2016,Oct 19 2015,May 15 2019,SRA,1,embryo,Mus musculus,strain: male CAST/EiJ x female C57BL/6J,cell type: E3.5 ICM,Sex: NA,"mESCs were cultured in 2i and LIF as the ground state condition or in serum and LIF as the conventional condition. Epistem cell lines were also generated from the two lines by culturing them with Activin A and FGF2. In order to study more advanced development, we differentiated the two mESC lines through embryonic body formation to postmitotic motor neurons using retinoic acid and the smoothened agonist SAG. This differentiation process also results in the derivation of several types of interneurons.",total RNA,Libraries for RNA-seq were prepared by using SMART-seq2 combined with Tn5 tagementation,,10090,,Illumina Casava1.7 software used for basecalling,RNA-seq reads of each cell were mapped to the mouse reference genome (mm10) using STAR (version 2.4.1),Expression  of genes for each sample was quantified and normalized using Cufflinks and Cuffnorm (version 2.2.1),Genome_build: mm10,Supplementary_files_format_and_content: tab-delimited text files include RPKM values for each sample,GPL13112,"Qiaolin,,Deng",qiaolin.deng@ki.se,Developmental Biology,Cell and Molecular Biology,Karolinska Institutet,Berzelius väg 35,Stockholm,17165,Sweden,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN04194948,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1355326,NONE,,GSM1912388,,E3.5-ICM
SRX135532,lateblast_1-7_704_501,GSM1912389,Public on Jul 27 2016,Oct 19 2015,May 15 2019,SRA,1,embryo,Mus musculus,strain: male CAST/EiJ x female C57BL/6J,cell type: E3.5 ICM,Sex: NA,"mESCs were cultured in 2i and LIF as the ground state condition or in serum and LIF as the conventional condition. Epistem cell lines were also generated from the two lines by culturing them with Activin A and FGF2. In order to study more advanced development, we differentiated the two mESC lines through embryonic body formation to postmitotic motor neurons using retinoic acid and the smoothened agonist SAG. This differentiation process also results in the derivation of several types of interneurons.",total RNA,Libraries for RNA-seq were prepared by using SMART-seq2 combined with Tn5 tagementation,,10090,,Illumina Casava1.7 software used for basecalling,RNA-seq reads of each cell were mapped to the mouse reference genome (mm10) using STAR (version 2.4.1),Expression  of genes for each sample was quantified and normalized using Cufflinks and Cuffnorm (version 2.2.1),Genome_build: mm10,Supplementary_files_format_and_content: tab-delimited text files include RPKM values for each sample,GPL13112,"Qiaolin,,Deng",qiaolin.deng@ki.se,Developmental Biology,Cell and Molecular Biology,Karolinska Institutet,Berzelius väg 35,Stockholm,17165,Sweden,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN04194949,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1355327,NONE,,GSM1912389,,E3.5-ICM
SRX135532,lateblast_1-9_701_502,GSM1912390,Public on Jul 27 2016,Oct 19 2015,May 15 2019,SRA,1,embryo,Mus musculus,strain: male CAST/EiJ x female C57BL/6J,cell type: E3.5 ICM,Sex: NA,"mESCs were cultured in 2i and LIF as the ground state condition or in serum and LIF as the conventional condition. Epistem cell lines were also generated from the two lines by culturing them with Activin A and FGF2. In order to study more advanced development, we differentiated the two mESC lines through embryonic body formation to postmitotic motor neurons using retinoic acid and the smoothened agonist SAG. This differentiation process also results in the derivation of several types of interneurons.",total RNA,Libraries for RNA-seq were prepared by using SMART-seq2 combined with Tn5 tagementation,,10090,,Illumina Casava1.7 software used for basecalling,RNA-seq reads of each cell were mapped to the mouse reference genome (mm10) using STAR (version 2.4.1),Expression  of genes for each sample was quantified and normalized using Cufflinks and Cuffnorm (version 2.2.1),Genome_build: mm10,Supplementary_files_format_and_content: tab-delimited text files include RPKM values for each sample,GPL13112,"Qiaolin,,Deng",qiaolin.deng@ki.se,Developmental Biology,Cell and Molecular Biology,Karolinska Institutet,Berzelius väg 35,Stockholm,17165,Sweden,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN04194950,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1355328,NONE,,GSM1912390,,E3.5-ICM
SRX135532,lateblast_3-11_704_504,GSM1912391,Public on Jul 27 2016,Oct 19 2015,May 15 2019,SRA,1,embryo,Mus musculus,strain: male CAST/EiJ x female C57BL/6J,cell type: E3.5 ICM,Sex: NA,"mESCs were cultured in 2i and LIF as the ground state condition or in serum and LIF as the conventional condition. Epistem cell lines were also generated from the two lines by culturing them with Activin A and FGF2. In order to study more advanced development, we differentiated the two mESC lines through embryonic body formation to postmitotic motor neurons using retinoic acid and the smoothened agonist SAG. This differentiation process also results in the derivation of several types of interneurons.",total RNA,Libraries for RNA-seq were prepared by using SMART-seq2 combined with Tn5 tagementation,,10090,,Illumina Casava1.7 software used for basecalling,RNA-seq reads of each cell were mapped to the mouse reference genome (mm10) using STAR (version 2.4.1),Expression  of genes for each sample was quantified and normalized using Cufflinks and Cuffnorm (version 2.2.1),Genome_build: mm10,Supplementary_files_format_and_content: tab-delimited text files include RPKM values for each sample,GPL13112,"Qiaolin,,Deng",qiaolin.deng@ki.se,Developmental Biology,Cell and Molecular Biology,Karolinska Institutet,Berzelius väg 35,Stockholm,17165,Sweden,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN04194951,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1355329,NONE,,GSM1912391,,E3.5-ICM
SRX135533,lateblast_3-12_705_504,GSM1912392,Public on Jul 27 2016,Oct 19 2015,May 15 2019,SRA,1,embryo,Mus musculus,strain: male CAST/EiJ x female C57BL/6J,cell type: E3.5 ICM,Sex: NA,"mESCs were cultured in 2i and LIF as the ground state condition or in serum and LIF as the conventional condition. Epistem cell lines were also generated from the two lines by culturing them with Activin A and FGF2. In order to study more advanced development, we differentiated the two mESC lines through embryonic body formation to postmitotic motor neurons using retinoic acid and the smoothened agonist SAG. This differentiation process also results in the derivation of several types of interneurons.",total RNA,Libraries for RNA-seq were prepared by using SMART-seq2 combined with Tn5 tagementation,,10090,,Illumina Casava1.7 software used for basecalling,RNA-seq reads of each cell were mapped to the mouse reference genome (mm10) using STAR (version 2.4.1),Expression  of genes for each sample was quantified and normalized using Cufflinks and Cuffnorm (version 2.2.1),Genome_build: mm10,Supplementary_files_format_and_content: tab-delimited text files include RPKM values for each sample,GPL13112,"Qiaolin,,Deng",qiaolin.deng@ki.se,Developmental Biology,Cell and Molecular Biology,Karolinska Institutet,Berzelius väg 35,Stockholm,17165,Sweden,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN04194952,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1355330,NONE,,GSM1912392,,E3.5-ICM
SRX135533,lateblast_3-13_706_504,GSM1912393,Public on Jul 27 2016,Oct 19 2015,May 15 2019,SRA,1,embryo,Mus musculus,strain: male CAST/EiJ x female C57BL/6J,cell type: E3.5 ICM,Sex: NA,"mESCs were cultured in 2i and LIF as the ground state condition or in serum and LIF as the conventional condition. Epistem cell lines were also generated from the two lines by culturing them with Activin A and FGF2. In order to study more advanced development, we differentiated the two mESC lines through embryonic body formation to postmitotic motor neurons using retinoic acid and the smoothened agonist SAG. This differentiation process also results in the derivation of several types of interneurons.",total RNA,Libraries for RNA-seq were prepared by using SMART-seq2 combined with Tn5 tagementation,,10090,,Illumina Casava1.7 software used for basecalling,RNA-seq reads of each cell were mapped to the mouse reference genome (mm10) using STAR (version 2.4.1),Expression  of genes for each sample was quantified and normalized using Cufflinks and Cuffnorm (version 2.2.1),Genome_build: mm10,Supplementary_files_format_and_content: tab-delimited text files include RPKM values for each sample,GPL13112,"Qiaolin,,Deng",qiaolin.deng@ki.se,Developmental Biology,Cell and Molecular Biology,Karolinska Institutet,Berzelius väg 35,Stockholm,17165,Sweden,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN04194953,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1355331,NONE,,GSM1912393,,E3.5-ICM
