SRX,index,!Sample_geo_accession,!Sample_status,!Sample_submission_date,!Sample_last_update_date,!Sample_type,!Sample_channel_count,!Sample_source_name_ch1,!Sample_organism_ch1,!Sample_characteristics_ch1,!Sample_characteristics_ch1,!Sample_characteristics_ch1,!Sample_characteristics_ch1,!Sample_treatment_protocol_ch1,!Sample_growth_protocol_ch1,!Sample_molecule_ch1,!Sample_extract_protocol_ch1,!Sample_extract_protocol_ch1,!Sample_extract_protocol_ch1,!Sample_taxid_ch1,!Sample_data_processing,!Sample_data_processing,!Sample_data_processing,!Sample_data_processing,!Sample_data_processing,!Sample_data_processing,!Sample_platform_id,!Sample_contact_name,!Sample_contact_email,!Sample_contact_institute,!Sample_contact_address,!Sample_contact_city,!Sample_contact_zip/postal_code,!Sample_contact_country,!Sample_data_row_count,!Sample_instrument_model,!Sample_library_selection,!Sample_library_source,!Sample_library_strategy,!Sample_relation,!Sample_relation,!Sample_relation,!Sample_supplementary_file_1,!series_matrix_table_begin,ID_REF,!series_matrix_table_end,ct
SRX232042,single cell from 2-cell stage embryo [2C_BC_9],GSM2371480,Public on Dec 05 2016,Nov 02 2016,May 15 2019,SRA,1,pre-implantation embryo,Mus musculus,strain: C57BL/6J*Cast/EiJ,developmental stage: 2-cell,genotype: Xist wt/wt,Sex: Female,"single cell cDNA amplification (Tang et al, 2010)","natural matings, no embryo culture",total RNA,"PolyA+ mRNA extracted from each single cell was reverse transcribed from the 3’UTR and amplified following the Tang et al protocol. Care was taken to process only embryos and single blastomeres of the highest quality based on morphology, number of cells and on amplification yield. A total of 72 BC and 110 CB single blastomeres have been processed and passed quality controls.",Illumina manufacturer protocol,50 bp single end,10090,Quality control: Reads characterized by at least one of the following criteria were discarded from the analysis i) >50% of low quality bases (Phred score <5) ii) >5% of N bases iii) >80% of AT rate iv) ≥30% of continuous A and/or T,"Genome reconstruction: The VCF file (mgp.v5.merged.snps_all.dbSNP142.vcf) reporting all SNP sites from 36 mouse strains based on mm10 was downloaded from the Sanger database. Using SNPsplit tool (v0.3.0), these SNPs were filtered based on their quality values (FI value) and used to reconstruct the Cast genome from mm10 genome assembly.",Mapping: Single-end reads were then aligned to the mouse mm10 and Cast/EiJ genomes using the TopHat2 software (v2.1.0). Only random best alignments with less than 2 mismatches were reported for downstream analyses. The resulting mapping files for both parental genomes were then merged for each sample.,"Allelic Ratio: The SAMtools mpileup utility (v1.1) was then used to extract base-pair information at each genomic position from the merged alignment file. At each SNP position, the number of paternal and maternal allele was counted. The allele-specific origin of the transcripts (or allelic ratio) has been measured by the total number of reads mapped on the paternal genome divided by the total number of reads for each gene: allelic ratio = paternal reads / (paternal+maternal) reads.","Estimation of gene expression levels: To estimate the transcript abundance, count tables of gene expression were generated using HTSeq v0.6.1 software. Read counts are then normalized based on the amplification size of each transcript (RPRT for Reads Per Retro-Transcribed length per million mapped reads)",Genome_build: mm10,GPL17021,"Nicolas,,Servant",Nicolas.Servant@curie.fr,Institut Curie,26 rue d'ulm,Paris Cedex 05,75248,France,0,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05967714,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX2320424,,NONE,,GSM2371480,,2C
SRX232042,single cell from 2-cell stage embryo [2C_BC_10],GSM2371481,Public on Dec 05 2016,Nov 02 2016,May 15 2019,SRA,1,pre-implantation embryo,Mus musculus,strain: C57BL/6J*Cast/EiJ,developmental stage: 2-cell,genotype: Xist wt/wt,Sex: Female,"single cell cDNA amplification (Tang et al, 2010)","natural matings, no embryo culture",total RNA,"PolyA+ mRNA extracted from each single cell was reverse transcribed from the 3’UTR and amplified following the Tang et al protocol. Care was taken to process only embryos and single blastomeres of the highest quality based on morphology, number of cells and on amplification yield. A total of 72 BC and 110 CB single blastomeres have been processed and passed quality controls.",Illumina manufacturer protocol,50 bp single end,10090,Quality control: Reads characterized by at least one of the following criteria were discarded from the analysis i) >50% of low quality bases (Phred score <5) ii) >5% of N bases iii) >80% of AT rate iv) ≥30% of continuous A and/or T,"Genome reconstruction: The VCF file (mgp.v5.merged.snps_all.dbSNP142.vcf) reporting all SNP sites from 36 mouse strains based on mm10 was downloaded from the Sanger database. Using SNPsplit tool (v0.3.0), these SNPs were filtered based on their quality values (FI value) and used to reconstruct the Cast genome from mm10 genome assembly.",Mapping: Single-end reads were then aligned to the mouse mm10 and Cast/EiJ genomes using the TopHat2 software (v2.1.0). Only random best alignments with less than 2 mismatches were reported for downstream analyses. The resulting mapping files for both parental genomes were then merged for each sample.,"Allelic Ratio: The SAMtools mpileup utility (v1.1) was then used to extract base-pair information at each genomic position from the merged alignment file. At each SNP position, the number of paternal and maternal allele was counted. The allele-specific origin of the transcripts (or allelic ratio) has been measured by the total number of reads mapped on the paternal genome divided by the total number of reads for each gene: allelic ratio = paternal reads / (paternal+maternal) reads.","Estimation of gene expression levels: To estimate the transcript abundance, count tables of gene expression were generated using HTSeq v0.6.1 software. Read counts are then normalized based on the amplification size of each transcript (RPRT for Reads Per Retro-Transcribed length per million mapped reads)",Genome_build: mm10,GPL17021,"Nicolas,,Servant",Nicolas.Servant@curie.fr,Institut Curie,26 rue d'ulm,Paris Cedex 05,75248,France,0,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05967727,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX2320425,,NONE,,GSM2371481,,2C
SRX232042,single cell from 2-cell stage embryo [2C_CB_6],GSM2371482,Public on Dec 05 2016,Nov 02 2016,May 15 2019,SRA,1,pre-implantation embryo,Mus musculus,strain: C57BL/6J*Cast/EiJ,developmental stage: 2-cell,genotype: Xist wt/wt,Sex: Female,"single cell cDNA amplification (Tang et al, 2010)","natural matings, no embryo culture",total RNA,"PolyA+ mRNA extracted from each single cell was reverse transcribed from the 3’UTR and amplified following the Tang et al protocol. Care was taken to process only embryos and single blastomeres of the highest quality based on morphology, number of cells and on amplification yield. A total of 72 BC and 110 CB single blastomeres have been processed and passed quality controls.",Illumina manufacturer protocol,50 bp single end,10090,Quality control: Reads characterized by at least one of the following criteria were discarded from the analysis i) >50% of low quality bases (Phred score <5) ii) >5% of N bases iii) >80% of AT rate iv) ≥30% of continuous A and/or T,"Genome reconstruction: The VCF file (mgp.v5.merged.snps_all.dbSNP142.vcf) reporting all SNP sites from 36 mouse strains based on mm10 was downloaded from the Sanger database. Using SNPsplit tool (v0.3.0), these SNPs were filtered based on their quality values (FI value) and used to reconstruct the Cast genome from mm10 genome assembly.",Mapping: Single-end reads were then aligned to the mouse mm10 and Cast/EiJ genomes using the TopHat2 software (v2.1.0). Only random best alignments with less than 2 mismatches were reported for downstream analyses. The resulting mapping files for both parental genomes were then merged for each sample.,"Allelic Ratio: The SAMtools mpileup utility (v1.1) was then used to extract base-pair information at each genomic position from the merged alignment file. At each SNP position, the number of paternal and maternal allele was counted. The allele-specific origin of the transcripts (or allelic ratio) has been measured by the total number of reads mapped on the paternal genome divided by the total number of reads for each gene: allelic ratio = paternal reads / (paternal+maternal) reads.","Estimation of gene expression levels: To estimate the transcript abundance, count tables of gene expression were generated using HTSeq v0.6.1 software. Read counts are then normalized based on the amplification size of each transcript (RPRT for Reads Per Retro-Transcribed length per million mapped reads)",Genome_build: mm10,GPL17021,"Nicolas,,Servant",Nicolas.Servant@curie.fr,Institut Curie,26 rue d'ulm,Paris Cedex 05,75248,France,0,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05967653,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX2320426,,NONE,,GSM2371482,,2C
SRX232042,single cell from 2-cell stage embryo [2C_BC_11],GSM2371483,Public on Dec 05 2016,Nov 02 2016,May 15 2019,SRA,1,pre-implantation embryo,Mus musculus,strain: C57BL/6J*Cast/EiJ,developmental stage: 2-cell,genotype: Xist wt/wt,Sex: Male,"single cell cDNA amplification (Tang et al, 2010)","natural matings, no embryo culture",total RNA,"PolyA+ mRNA extracted from each single cell was reverse transcribed from the 3’UTR and amplified following the Tang et al protocol. Care was taken to process only embryos and single blastomeres of the highest quality based on morphology, number of cells and on amplification yield. A total of 72 BC and 110 CB single blastomeres have been processed and passed quality controls.",Illumina manufacturer protocol,50 bp single end,10090,Quality control: Reads characterized by at least one of the following criteria were discarded from the analysis i) >50% of low quality bases (Phred score <5) ii) >5% of N bases iii) >80% of AT rate iv) ≥30% of continuous A and/or T,"Genome reconstruction: The VCF file (mgp.v5.merged.snps_all.dbSNP142.vcf) reporting all SNP sites from 36 mouse strains based on mm10 was downloaded from the Sanger database. Using SNPsplit tool (v0.3.0), these SNPs were filtered based on their quality values (FI value) and used to reconstruct the Cast genome from mm10 genome assembly.",Mapping: Single-end reads were then aligned to the mouse mm10 and Cast/EiJ genomes using the TopHat2 software (v2.1.0). Only random best alignments with less than 2 mismatches were reported for downstream analyses. The resulting mapping files for both parental genomes were then merged for each sample.,"Allelic Ratio: The SAMtools mpileup utility (v1.1) was then used to extract base-pair information at each genomic position from the merged alignment file. At each SNP position, the number of paternal and maternal allele was counted. The allele-specific origin of the transcripts (or allelic ratio) has been measured by the total number of reads mapped on the paternal genome divided by the total number of reads for each gene: allelic ratio = paternal reads / (paternal+maternal) reads.","Estimation of gene expression levels: To estimate the transcript abundance, count tables of gene expression were generated using HTSeq v0.6.1 software. Read counts are then normalized based on the amplification size of each transcript (RPRT for Reads Per Retro-Transcribed length per million mapped reads)",Genome_build: mm10,GPL17021,"Nicolas,,Servant",Nicolas.Servant@curie.fr,Institut Curie,26 rue d'ulm,Paris Cedex 05,75248,France,0,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05967656,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX2320427,,NONE,,GSM2371483,,2C
SRX232042,single cell from 2-cell stage embryo [2C_CB_2],GSM2371484,Public on Dec 05 2016,Nov 02 2016,May 15 2019,SRA,1,pre-implantation embryo,Mus musculus,strain: Cast/EiJ*C57BL/6J,developmental stage: 2-cell,genotype: Xist wt/wt,Sex: Male,"single cell cDNA amplification (Tang et al, 2010)","natural matings, no embryo culture",total RNA,"PolyA+ mRNA extracted from each single cell was reverse transcribed from the 3’UTR and amplified following the Tang et al protocol. Care was taken to process only embryos and single blastomeres of the highest quality based on morphology, number of cells and on amplification yield. A total of 72 BC and 110 CB single blastomeres have been processed and passed quality controls.",Illumina manufacturer protocol,50 bp single end,10090,Quality control: Reads characterized by at least one of the following criteria were discarded from the analysis i) >50% of low quality bases (Phred score <5) ii) >5% of N bases iii) >80% of AT rate iv) ≥30% of continuous A and/or T,"Genome reconstruction: The VCF file (mgp.v5.merged.snps_all.dbSNP142.vcf) reporting all SNP sites from 36 mouse strains based on mm10 was downloaded from the Sanger database. Using SNPsplit tool (v0.3.0), these SNPs were filtered based on their quality values (FI value) and used to reconstruct the Cast genome from mm10 genome assembly.",Mapping: Single-end reads were then aligned to the mouse mm10 and Cast/EiJ genomes using the TopHat2 software (v2.1.0). Only random best alignments with less than 2 mismatches were reported for downstream analyses. The resulting mapping files for both parental genomes were then merged for each sample.,"Allelic Ratio: The SAMtools mpileup utility (v1.1) was then used to extract base-pair information at each genomic position from the merged alignment file. At each SNP position, the number of paternal and maternal allele was counted. The allele-specific origin of the transcripts (or allelic ratio) has been measured by the total number of reads mapped on the paternal genome divided by the total number of reads for each gene: allelic ratio = paternal reads / (paternal+maternal) reads.","Estimation of gene expression levels: To estimate the transcript abundance, count tables of gene expression were generated using HTSeq v0.6.1 software. Read counts are then normalized based on the amplification size of each transcript (RPRT for Reads Per Retro-Transcribed length per million mapped reads)",Genome_build: mm10,GPL17021,"Nicolas,,Servant",Nicolas.Servant@curie.fr,Institut Curie,26 rue d'ulm,Paris Cedex 05,75248,France,0,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05967655,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX2320428,,NONE,,GSM2371484,,2C
SRX232042,single cell from 2-cell stage embryo [2C_CB_4],GSM2371485,Public on Dec 05 2016,Nov 02 2016,May 15 2019,SRA,1,pre-implantation embryo,Mus musculus,strain: Cast/EiJ*C57BL/6J,developmental stage: 2-cell,genotype: Xist wt/wt,Sex: Male,"single cell cDNA amplification (Tang et al, 2010)","natural matings, no embryo culture",total RNA,"PolyA+ mRNA extracted from each single cell was reverse transcribed from the 3’UTR and amplified following the Tang et al protocol. Care was taken to process only embryos and single blastomeres of the highest quality based on morphology, number of cells and on amplification yield. A total of 72 BC and 110 CB single blastomeres have been processed and passed quality controls.",Illumina manufacturer protocol,50 bp single end,10090,Quality control: Reads characterized by at least one of the following criteria were discarded from the analysis i) >50% of low quality bases (Phred score <5) ii) >5% of N bases iii) >80% of AT rate iv) ≥30% of continuous A and/or T,"Genome reconstruction: The VCF file (mgp.v5.merged.snps_all.dbSNP142.vcf) reporting all SNP sites from 36 mouse strains based on mm10 was downloaded from the Sanger database. Using SNPsplit tool (v0.3.0), these SNPs were filtered based on their quality values (FI value) and used to reconstruct the Cast genome from mm10 genome assembly.",Mapping: Single-end reads were then aligned to the mouse mm10 and Cast/EiJ genomes using the TopHat2 software (v2.1.0). Only random best alignments with less than 2 mismatches were reported for downstream analyses. The resulting mapping files for both parental genomes were then merged for each sample.,"Allelic Ratio: The SAMtools mpileup utility (v1.1) was then used to extract base-pair information at each genomic position from the merged alignment file. At each SNP position, the number of paternal and maternal allele was counted. The allele-specific origin of the transcripts (or allelic ratio) has been measured by the total number of reads mapped on the paternal genome divided by the total number of reads for each gene: allelic ratio = paternal reads / (paternal+maternal) reads.","Estimation of gene expression levels: To estimate the transcript abundance, count tables of gene expression were generated using HTSeq v0.6.1 software. Read counts are then normalized based on the amplification size of each transcript (RPRT for Reads Per Retro-Transcribed length per million mapped reads)",Genome_build: mm10,GPL17021,"Nicolas,,Servant",Nicolas.Servant@curie.fr,Institut Curie,26 rue d'ulm,Paris Cedex 05,75248,France,0,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05967654,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX2320429,,NONE,,GSM2371485,,2C
SRX232043,single cell from 4-cell stage embryo [4C_BC_2],GSM2371486,Public on Dec 05 2016,Nov 02 2016,May 15 2019,SRA,1,pre-implantation embryo,Mus musculus,strain: C57BL/6J*Cast/EiJ,developmental stage: 4-cell,genotype: Xist wt/wt,Sex: Female,"single cell cDNA amplification (Tang et al, 2010)","natural matings, no embryo culture",total RNA,"PolyA+ mRNA extracted from each single cell was reverse transcribed from the 3’UTR and amplified following the Tang et al protocol. Care was taken to process only embryos and single blastomeres of the highest quality based on morphology, number of cells and on amplification yield. A total of 72 BC and 110 CB single blastomeres have been processed and passed quality controls.",Illumina manufacturer protocol,50 bp single end,10090,Quality control: Reads characterized by at least one of the following criteria were discarded from the analysis i) >50% of low quality bases (Phred score <5) ii) >5% of N bases iii) >80% of AT rate iv) ≥30% of continuous A and/or T,"Genome reconstruction: The VCF file (mgp.v5.merged.snps_all.dbSNP142.vcf) reporting all SNP sites from 36 mouse strains based on mm10 was downloaded from the Sanger database. Using SNPsplit tool (v0.3.0), these SNPs were filtered based on their quality values (FI value) and used to reconstruct the Cast genome from mm10 genome assembly.",Mapping: Single-end reads were then aligned to the mouse mm10 and Cast/EiJ genomes using the TopHat2 software (v2.1.0). Only random best alignments with less than 2 mismatches were reported for downstream analyses. The resulting mapping files for both parental genomes were then merged for each sample.,"Allelic Ratio: The SAMtools mpileup utility (v1.1) was then used to extract base-pair information at each genomic position from the merged alignment file. At each SNP position, the number of paternal and maternal allele was counted. The allele-specific origin of the transcripts (or allelic ratio) has been measured by the total number of reads mapped on the paternal genome divided by the total number of reads for each gene: allelic ratio = paternal reads / (paternal+maternal) reads.","Estimation of gene expression levels: To estimate the transcript abundance, count tables of gene expression were generated using HTSeq v0.6.1 software. Read counts are then normalized based on the amplification size of each transcript (RPRT for Reads Per Retro-Transcribed length per million mapped reads)",Genome_build: mm10,GPL17021,"Nicolas,,Servant",Nicolas.Servant@curie.fr,Institut Curie,26 rue d'ulm,Paris Cedex 05,75248,France,0,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05967674,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX2320430,,NONE,,GSM2371486,,4C
SRX232043,single cell from 4-cell stage embryo [4C_BC_3],GSM2371487,Public on Dec 05 2016,Nov 02 2016,May 15 2019,SRA,1,pre-implantation embryo,Mus musculus,strain: C57BL/6J*Cast/EiJ,developmental stage: 4-cell,genotype: Xist wt/wt,Sex: Female,"single cell cDNA amplification (Tang et al, 2010)","natural matings, no embryo culture",total RNA,"PolyA+ mRNA extracted from each single cell was reverse transcribed from the 3’UTR and amplified following the Tang et al protocol. Care was taken to process only embryos and single blastomeres of the highest quality based on morphology, number of cells and on amplification yield. A total of 72 BC and 110 CB single blastomeres have been processed and passed quality controls.",Illumina manufacturer protocol,50 bp single end,10090,Quality control: Reads characterized by at least one of the following criteria were discarded from the analysis i) >50% of low quality bases (Phred score <5) ii) >5% of N bases iii) >80% of AT rate iv) ≥30% of continuous A and/or T,"Genome reconstruction: The VCF file (mgp.v5.merged.snps_all.dbSNP142.vcf) reporting all SNP sites from 36 mouse strains based on mm10 was downloaded from the Sanger database. Using SNPsplit tool (v0.3.0), these SNPs were filtered based on their quality values (FI value) and used to reconstruct the Cast genome from mm10 genome assembly.",Mapping: Single-end reads were then aligned to the mouse mm10 and Cast/EiJ genomes using the TopHat2 software (v2.1.0). Only random best alignments with less than 2 mismatches were reported for downstream analyses. The resulting mapping files for both parental genomes were then merged for each sample.,"Allelic Ratio: The SAMtools mpileup utility (v1.1) was then used to extract base-pair information at each genomic position from the merged alignment file. At each SNP position, the number of paternal and maternal allele was counted. The allele-specific origin of the transcripts (or allelic ratio) has been measured by the total number of reads mapped on the paternal genome divided by the total number of reads for each gene: allelic ratio = paternal reads / (paternal+maternal) reads.","Estimation of gene expression levels: To estimate the transcript abundance, count tables of gene expression were generated using HTSeq v0.6.1 software. Read counts are then normalized based on the amplification size of each transcript (RPRT for Reads Per Retro-Transcribed length per million mapped reads)",Genome_build: mm10,GPL17021,"Nicolas,,Servant",Nicolas.Servant@curie.fr,Institut Curie,26 rue d'ulm,Paris Cedex 05,75248,France,0,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05967675,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX2320431,,NONE,,GSM2371487,,4C
SRX232043,single cell from 4-cell stage embryo [4C_BC_5],GSM2371488,Public on Dec 05 2016,Nov 02 2016,May 15 2019,SRA,1,pre-implantation embryo,Mus musculus,strain: C57BL/6J*Cast/EiJ,developmental stage: 4-cell,genotype: Xist wt/wt,Sex: Female,"single cell cDNA amplification (Tang et al, 2010)","natural matings, no embryo culture",total RNA,"PolyA+ mRNA extracted from each single cell was reverse transcribed from the 3’UTR and amplified following the Tang et al protocol. Care was taken to process only embryos and single blastomeres of the highest quality based on morphology, number of cells and on amplification yield. A total of 72 BC and 110 CB single blastomeres have been processed and passed quality controls.",Illumina manufacturer protocol,50 bp single end,10090,Quality control: Reads characterized by at least one of the following criteria were discarded from the analysis i) >50% of low quality bases (Phred score <5) ii) >5% of N bases iii) >80% of AT rate iv) ≥30% of continuous A and/or T,"Genome reconstruction: The VCF file (mgp.v5.merged.snps_all.dbSNP142.vcf) reporting all SNP sites from 36 mouse strains based on mm10 was downloaded from the Sanger database. Using SNPsplit tool (v0.3.0), these SNPs were filtered based on their quality values (FI value) and used to reconstruct the Cast genome from mm10 genome assembly.",Mapping: Single-end reads were then aligned to the mouse mm10 and Cast/EiJ genomes using the TopHat2 software (v2.1.0). Only random best alignments with less than 2 mismatches were reported for downstream analyses. The resulting mapping files for both parental genomes were then merged for each sample.,"Allelic Ratio: The SAMtools mpileup utility (v1.1) was then used to extract base-pair information at each genomic position from the merged alignment file. At each SNP position, the number of paternal and maternal allele was counted. The allele-specific origin of the transcripts (or allelic ratio) has been measured by the total number of reads mapped on the paternal genome divided by the total number of reads for each gene: allelic ratio = paternal reads / (paternal+maternal) reads.","Estimation of gene expression levels: To estimate the transcript abundance, count tables of gene expression were generated using HTSeq v0.6.1 software. Read counts are then normalized based on the amplification size of each transcript (RPRT for Reads Per Retro-Transcribed length per million mapped reads)",Genome_build: mm10,GPL17021,"Nicolas,,Servant",Nicolas.Servant@curie.fr,Institut Curie,26 rue d'ulm,Paris Cedex 05,75248,France,0,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05967673,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX2320432,,NONE,,GSM2371488,,4C
SRX232043,single cell from 4-cell stage embryo [4C_BC_50A],GSM2371489,Public on Dec 05 2016,Nov 02 2016,May 15 2019,SRA,1,pre-implantation embryo,Mus musculus,strain: C57BL/6J*Cast/EiJ,developmental stage: 4-cell,genotype: Xist wt/wt,Sex: Female,"single cell cDNA amplification (Tang et al, 2010)","natural matings, no embryo culture",total RNA,"PolyA+ mRNA extracted from each single cell was reverse transcribed from the 3’UTR and amplified following the Tang et al protocol. Care was taken to process only embryos and single blastomeres of the highest quality based on morphology, number of cells and on amplification yield. A total of 72 BC and 110 CB single blastomeres have been processed and passed quality controls.",Illumina manufacturer protocol,50 bp single end,10090,Quality control: Reads characterized by at least one of the following criteria were discarded from the analysis i) >50% of low quality bases (Phred score <5) ii) >5% of N bases iii) >80% of AT rate iv) ≥30% of continuous A and/or T,"Genome reconstruction: The VCF file (mgp.v5.merged.snps_all.dbSNP142.vcf) reporting all SNP sites from 36 mouse strains based on mm10 was downloaded from the Sanger database. Using SNPsplit tool (v0.3.0), these SNPs were filtered based on their quality values (FI value) and used to reconstruct the Cast genome from mm10 genome assembly.",Mapping: Single-end reads were then aligned to the mouse mm10 and Cast/EiJ genomes using the TopHat2 software (v2.1.0). Only random best alignments with less than 2 mismatches were reported for downstream analyses. The resulting mapping files for both parental genomes were then merged for each sample.,"Allelic Ratio: The SAMtools mpileup utility (v1.1) was then used to extract base-pair information at each genomic position from the merged alignment file. At each SNP position, the number of paternal and maternal allele was counted. The allele-specific origin of the transcripts (or allelic ratio) has been measured by the total number of reads mapped on the paternal genome divided by the total number of reads for each gene: allelic ratio = paternal reads / (paternal+maternal) reads.","Estimation of gene expression levels: To estimate the transcript abundance, count tables of gene expression were generated using HTSeq v0.6.1 software. Read counts are then normalized based on the amplification size of each transcript (RPRT for Reads Per Retro-Transcribed length per million mapped reads)",Genome_build: mm10,GPL17021,"Nicolas,,Servant",Nicolas.Servant@curie.fr,Institut Curie,26 rue d'ulm,Paris Cedex 05,75248,France,0,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05967652,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX2320433,,NONE,,GSM2371489,,4C
