SRX,index,!Sample_geo_accession,!Sample_status,!Sample_submission_date,!Sample_last_update_date,!Sample_type,!Sample_channel_count,!Sample_source_name_ch1,!Sample_organism_ch1,!Sample_characteristics_ch1,!Sample_characteristics_ch1,!Sample_characteristics_ch1,!Sample_characteristics_ch1,!Sample_growth_protocol_ch1,!Sample_molecule_ch1,!Sample_extract_protocol_ch1,!Sample_extract_protocol_ch1,!Sample_taxid_ch1,!Sample_data_processing,!Sample_data_processing,!Sample_data_processing,!Sample_data_processing,!Sample_platform_id,!Sample_contact_name,!Sample_contact_email,!Sample_contact_institute,!Sample_contact_address,!Sample_contact_city,!Sample_contact_zip/postal_code,!Sample_contact_country,!Sample_data_row_count,!Sample_instrument_model,!Sample_library_selection,!Sample_library_source,!Sample_library_strategy,!Sample_relation,!Sample_relation,!Sample_supplementary_file_1,!series_matrix_table_begin,ID_REF,!series_matrix_table_end,ct
SRX197969,D1_517_701B,GSM2253385,Public on Feb 14 2017,Jul 27 2016,May 15 2019,SRA,1,embryo,Mus musculus,Stage: early 32 cell,strain: CD1,lineage: TE,embryo derived from: E32_1,"The zona pellucida was removed using acid Tyrode’s solution and embryos were washed in M2. Dissociation was performed by incubating embryos in TrypLE (Life Technologies) for 3-6 minutes at 37°C followed by pipetting through fine pulled glass capillaries. Individual cells were picked, aligned in rows in M2 media under oil and imaged using a Zeiss Axiovert 200 inverted microscope equipped with a Hamamatsu C9100-13 EM-CCD camera, a Quorum spinning disk confocal scan head and Volocity aquisition software (Perkin Elmer, version 6.3.1) Cdx2-eGFP was quantified by taking single plain images of individual cells, focusing on the plain with maximum eGFP intensity. Average nuclear Cdx2-eGFP measurements were corrected for cytoplasmic background. The cut off between “Cdx2-eGFP low” and “Cdx2-eGFP high” was set at 500 fluorescent intensity units and was based on the clearly distinct Cdx2-eGFP low cell population at the 64-cell and >64-cell stages.",total RNA,"Cells were directly dispensed in lysis buffer and cDNA libraries were generated using Smart-seq2 as previously described (Picelli et al., 2013, 2014, Petropoulos et al., 2016).",Smart-seq2,10090,"Sequenced reads were trimmed for adaptor sequence, and masked for low-complexity or low-quality sequence, then mapped to mm10 whole genome using STAR","Data was processed using in house pipeline rpkmforgene.py (Ramsköld D et al., 2009)",Genome_build: mm10,Supplementary_files_format_and_content: tab-delimited text files include RPKM values and counts for each sample,GPL13112,"Sophie,,Petropoulos",sophie.petropoulos@ki.se,Karolinska Institutet,liniskt Forskningscentrum  Novum,Stockholm,14186,Sweden,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05448925,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1979696,NONE,,GSM2253385,,E3.25-TE
SRX197969,D10_704_502B,GSM2253386,Public on Feb 14 2017,Jul 27 2016,May 15 2019,SRA,1,embryo,Mus musculus,Stage: early 32 cell,strain: CD1,lineage: ICM,embryo derived from: E32_2,"The zona pellucida was removed using acid Tyrode’s solution and embryos were washed in M2. Dissociation was performed by incubating embryos in TrypLE (Life Technologies) for 3-6 minutes at 37°C followed by pipetting through fine pulled glass capillaries. Individual cells were picked, aligned in rows in M2 media under oil and imaged using a Zeiss Axiovert 200 inverted microscope equipped with a Hamamatsu C9100-13 EM-CCD camera, a Quorum spinning disk confocal scan head and Volocity aquisition software (Perkin Elmer, version 6.3.1) Cdx2-eGFP was quantified by taking single plain images of individual cells, focusing on the plain with maximum eGFP intensity. Average nuclear Cdx2-eGFP measurements were corrected for cytoplasmic background. The cut off between “Cdx2-eGFP low” and “Cdx2-eGFP high” was set at 500 fluorescent intensity units and was based on the clearly distinct Cdx2-eGFP low cell population at the 64-cell and >64-cell stages.",total RNA,"Cells were directly dispensed in lysis buffer and cDNA libraries were generated using Smart-seq2 as previously described (Picelli et al., 2013, 2014, Petropoulos et al., 2016).",Smart-seq2,10090,"Sequenced reads were trimmed for adaptor sequence, and masked for low-complexity or low-quality sequence, then mapped to mm10 whole genome using STAR","Data was processed using in house pipeline rpkmforgene.py (Ramsköld D et al., 2009)",Genome_build: mm10,Supplementary_files_format_and_content: tab-delimited text files include RPKM values and counts for each sample,GPL13112,"Sophie,,Petropoulos",sophie.petropoulos@ki.se,Karolinska Institutet,liniskt Forskningscentrum  Novum,Stockholm,14186,Sweden,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05448924,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1979697,NONE,,GSM2253386,,E3.25-ICM
SRX197969,D100,GSM2253387,Public on Feb 14 2017,Jul 27 2016,May 15 2019,SRA,1,embryo,Mus musculus,Stage: early 32 cell,strain: CD1,lineage: ICM,embryo derived from: E32_6,"The zona pellucida was removed using acid Tyrode’s solution and embryos were washed in M2. Dissociation was performed by incubating embryos in TrypLE (Life Technologies) for 3-6 minutes at 37°C followed by pipetting through fine pulled glass capillaries. Individual cells were picked, aligned in rows in M2 media under oil and imaged using a Zeiss Axiovert 200 inverted microscope equipped with a Hamamatsu C9100-13 EM-CCD camera, a Quorum spinning disk confocal scan head and Volocity aquisition software (Perkin Elmer, version 6.3.1) Cdx2-eGFP was quantified by taking single plain images of individual cells, focusing on the plain with maximum eGFP intensity. Average nuclear Cdx2-eGFP measurements were corrected for cytoplasmic background. The cut off between “Cdx2-eGFP low” and “Cdx2-eGFP high” was set at 500 fluorescent intensity units and was based on the clearly distinct Cdx2-eGFP low cell population at the 64-cell and >64-cell stages.",total RNA,"Cells were directly dispensed in lysis buffer and cDNA libraries were generated using Smart-seq2 as previously described (Picelli et al., 2013, 2014, Petropoulos et al., 2016).",Smart-seq2,10090,"Sequenced reads were trimmed for adaptor sequence, and masked for low-complexity or low-quality sequence, then mapped to mm10 whole genome using STAR","Data was processed using in house pipeline rpkmforgene.py (Ramsköld D et al., 2009)",Genome_build: mm10,Supplementary_files_format_and_content: tab-delimited text files include RPKM values and counts for each sample,GPL13112,"Sophie,,Petropoulos",sophie.petropoulos@ki.se,Karolinska Institutet,liniskt Forskningscentrum  Novum,Stockholm,14186,Sweden,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05448923,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1979698,NONE,,GSM2253387,,E3.25-ICM
SRX197969,D101,GSM2253388,Public on Feb 14 2017,Jul 27 2016,May 15 2019,SRA,1,embryo,Mus musculus,Stage: early 32 cell,strain: CD1,lineage: ICM,embryo derived from: E32_6,"The zona pellucida was removed using acid Tyrode’s solution and embryos were washed in M2. Dissociation was performed by incubating embryos in TrypLE (Life Technologies) for 3-6 minutes at 37°C followed by pipetting through fine pulled glass capillaries. Individual cells were picked, aligned in rows in M2 media under oil and imaged using a Zeiss Axiovert 200 inverted microscope equipped with a Hamamatsu C9100-13 EM-CCD camera, a Quorum spinning disk confocal scan head and Volocity aquisition software (Perkin Elmer, version 6.3.1) Cdx2-eGFP was quantified by taking single plain images of individual cells, focusing on the plain with maximum eGFP intensity. Average nuclear Cdx2-eGFP measurements were corrected for cytoplasmic background. The cut off between “Cdx2-eGFP low” and “Cdx2-eGFP high” was set at 500 fluorescent intensity units and was based on the clearly distinct Cdx2-eGFP low cell population at the 64-cell and >64-cell stages.",total RNA,"Cells were directly dispensed in lysis buffer and cDNA libraries were generated using Smart-seq2 as previously described (Picelli et al., 2013, 2014, Petropoulos et al., 2016).",Smart-seq2,10090,"Sequenced reads were trimmed for adaptor sequence, and masked for low-complexity or low-quality sequence, then mapped to mm10 whole genome using STAR","Data was processed using in house pipeline rpkmforgene.py (Ramsköld D et al., 2009)",Genome_build: mm10,Supplementary_files_format_and_content: tab-delimited text files include RPKM values and counts for each sample,GPL13112,"Sophie,,Petropoulos",sophie.petropoulos@ki.se,Karolinska Institutet,liniskt Forskningscentrum  Novum,Stockholm,14186,Sweden,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05448922,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1979699,NONE,,GSM2253388,,E3.25-ICM
SRX197970,D102,GSM2253389,Public on Feb 14 2017,Jul 27 2016,May 15 2019,SRA,1,embryo,Mus musculus,Stage: early 32 cell,strain: CD1,lineage: TE,embryo derived from: E32_6,"The zona pellucida was removed using acid Tyrode’s solution and embryos were washed in M2. Dissociation was performed by incubating embryos in TrypLE (Life Technologies) for 3-6 minutes at 37°C followed by pipetting through fine pulled glass capillaries. Individual cells were picked, aligned in rows in M2 media under oil and imaged using a Zeiss Axiovert 200 inverted microscope equipped with a Hamamatsu C9100-13 EM-CCD camera, a Quorum spinning disk confocal scan head and Volocity aquisition software (Perkin Elmer, version 6.3.1) Cdx2-eGFP was quantified by taking single plain images of individual cells, focusing on the plain with maximum eGFP intensity. Average nuclear Cdx2-eGFP measurements were corrected for cytoplasmic background. The cut off between “Cdx2-eGFP low” and “Cdx2-eGFP high” was set at 500 fluorescent intensity units and was based on the clearly distinct Cdx2-eGFP low cell population at the 64-cell and >64-cell stages.",total RNA,"Cells were directly dispensed in lysis buffer and cDNA libraries were generated using Smart-seq2 as previously described (Picelli et al., 2013, 2014, Petropoulos et al., 2016).",Smart-seq2,10090,"Sequenced reads were trimmed for adaptor sequence, and masked for low-complexity or low-quality sequence, then mapped to mm10 whole genome using STAR","Data was processed using in house pipeline rpkmforgene.py (Ramsköld D et al., 2009)",Genome_build: mm10,Supplementary_files_format_and_content: tab-delimited text files include RPKM values and counts for each sample,GPL13112,"Sophie,,Petropoulos",sophie.petropoulos@ki.se,Karolinska Institutet,liniskt Forskningscentrum  Novum,Stockholm,14186,Sweden,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05448917,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1979700,NONE,,GSM2253389,,E3.25-TE
SRX197970,D103,GSM2253390,Public on Feb 14 2017,Jul 27 2016,May 15 2019,SRA,1,embryo,Mus musculus,Stage: early 32 cell,strain: CD1,lineage: ICM,embryo derived from: E32_6,"The zona pellucida was removed using acid Tyrode’s solution and embryos were washed in M2. Dissociation was performed by incubating embryos in TrypLE (Life Technologies) for 3-6 minutes at 37°C followed by pipetting through fine pulled glass capillaries. Individual cells were picked, aligned in rows in M2 media under oil and imaged using a Zeiss Axiovert 200 inverted microscope equipped with a Hamamatsu C9100-13 EM-CCD camera, a Quorum spinning disk confocal scan head and Volocity aquisition software (Perkin Elmer, version 6.3.1) Cdx2-eGFP was quantified by taking single plain images of individual cells, focusing on the plain with maximum eGFP intensity. Average nuclear Cdx2-eGFP measurements were corrected for cytoplasmic background. The cut off between “Cdx2-eGFP low” and “Cdx2-eGFP high” was set at 500 fluorescent intensity units and was based on the clearly distinct Cdx2-eGFP low cell population at the 64-cell and >64-cell stages.",total RNA,"Cells were directly dispensed in lysis buffer and cDNA libraries were generated using Smart-seq2 as previously described (Picelli et al., 2013, 2014, Petropoulos et al., 2016).",Smart-seq2,10090,"Sequenced reads were trimmed for adaptor sequence, and masked for low-complexity or low-quality sequence, then mapped to mm10 whole genome using STAR","Data was processed using in house pipeline rpkmforgene.py (Ramsköld D et al., 2009)",Genome_build: mm10,Supplementary_files_format_and_content: tab-delimited text files include RPKM values and counts for each sample,GPL13112,"Sophie,,Petropoulos",sophie.petropoulos@ki.se,Karolinska Institutet,liniskt Forskningscentrum  Novum,Stockholm,14186,Sweden,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05448919,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1979701,NONE,,GSM2253390,,E3.25-ICM
SRX197970,D104,GSM2253391,Public on Feb 14 2017,Jul 27 2016,May 15 2019,SRA,1,embryo,Mus musculus,Stage: early 32 cell,strain: CD1,lineage: ICM,embryo derived from: E32_6,"The zona pellucida was removed using acid Tyrode’s solution and embryos were washed in M2. Dissociation was performed by incubating embryos in TrypLE (Life Technologies) for 3-6 minutes at 37°C followed by pipetting through fine pulled glass capillaries. Individual cells were picked, aligned in rows in M2 media under oil and imaged using a Zeiss Axiovert 200 inverted microscope equipped with a Hamamatsu C9100-13 EM-CCD camera, a Quorum spinning disk confocal scan head and Volocity aquisition software (Perkin Elmer, version 6.3.1) Cdx2-eGFP was quantified by taking single plain images of individual cells, focusing on the plain with maximum eGFP intensity. Average nuclear Cdx2-eGFP measurements were corrected for cytoplasmic background. The cut off between “Cdx2-eGFP low” and “Cdx2-eGFP high” was set at 500 fluorescent intensity units and was based on the clearly distinct Cdx2-eGFP low cell population at the 64-cell and >64-cell stages.",total RNA,"Cells were directly dispensed in lysis buffer and cDNA libraries were generated using Smart-seq2 as previously described (Picelli et al., 2013, 2014, Petropoulos et al., 2016).",Smart-seq2,10090,"Sequenced reads were trimmed for adaptor sequence, and masked for low-complexity or low-quality sequence, then mapped to mm10 whole genome using STAR","Data was processed using in house pipeline rpkmforgene.py (Ramsköld D et al., 2009)",Genome_build: mm10,Supplementary_files_format_and_content: tab-delimited text files include RPKM values and counts for each sample,GPL13112,"Sophie,,Petropoulos",sophie.petropoulos@ki.se,Karolinska Institutet,liniskt Forskningscentrum  Novum,Stockholm,14186,Sweden,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05448918,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1979702,NONE,,GSM2253391,,E3.25-ICM
SRX197970,D11_704_503B,GSM2253392,Public on Feb 14 2017,Jul 27 2016,May 15 2019,SRA,1,embryo,Mus musculus,Stage: early 32 cell,strain: CD1,lineage: ICM,embryo derived from: E32_2,"The zona pellucida was removed using acid Tyrode’s solution and embryos were washed in M2. Dissociation was performed by incubating embryos in TrypLE (Life Technologies) for 3-6 minutes at 37°C followed by pipetting through fine pulled glass capillaries. Individual cells were picked, aligned in rows in M2 media under oil and imaged using a Zeiss Axiovert 200 inverted microscope equipped with a Hamamatsu C9100-13 EM-CCD camera, a Quorum spinning disk confocal scan head and Volocity aquisition software (Perkin Elmer, version 6.3.1) Cdx2-eGFP was quantified by taking single plain images of individual cells, focusing on the plain with maximum eGFP intensity. Average nuclear Cdx2-eGFP measurements were corrected for cytoplasmic background. The cut off between “Cdx2-eGFP low” and “Cdx2-eGFP high” was set at 500 fluorescent intensity units and was based on the clearly distinct Cdx2-eGFP low cell population at the 64-cell and >64-cell stages.",total RNA,"Cells were directly dispensed in lysis buffer and cDNA libraries were generated using Smart-seq2 as previously described (Picelli et al., 2013, 2014, Petropoulos et al., 2016).",Smart-seq2,10090,"Sequenced reads were trimmed for adaptor sequence, and masked for low-complexity or low-quality sequence, then mapped to mm10 whole genome using STAR","Data was processed using in house pipeline rpkmforgene.py (Ramsköld D et al., 2009)",Genome_build: mm10,Supplementary_files_format_and_content: tab-delimited text files include RPKM values and counts for each sample,GPL13112,"Sophie,,Petropoulos",sophie.petropoulos@ki.se,Karolinska Institutet,liniskt Forskningscentrum  Novum,Stockholm,14186,Sweden,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05448921,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1979703,NONE,,GSM2253392,,E3.25-ICM
SRX197970,D12_704_504B,GSM2253393,Public on Feb 14 2017,Jul 27 2016,May 15 2019,SRA,1,embryo,Mus musculus,Stage: early 32 cell,strain: CD1,lineage: TE,embryo derived from: E32_2,"The zona pellucida was removed using acid Tyrode’s solution and embryos were washed in M2. Dissociation was performed by incubating embryos in TrypLE (Life Technologies) for 3-6 minutes at 37°C followed by pipetting through fine pulled glass capillaries. Individual cells were picked, aligned in rows in M2 media under oil and imaged using a Zeiss Axiovert 200 inverted microscope equipped with a Hamamatsu C9100-13 EM-CCD camera, a Quorum spinning disk confocal scan head and Volocity aquisition software (Perkin Elmer, version 6.3.1) Cdx2-eGFP was quantified by taking single plain images of individual cells, focusing on the plain with maximum eGFP intensity. Average nuclear Cdx2-eGFP measurements were corrected for cytoplasmic background. The cut off between “Cdx2-eGFP low” and “Cdx2-eGFP high” was set at 500 fluorescent intensity units and was based on the clearly distinct Cdx2-eGFP low cell population at the 64-cell and >64-cell stages.",total RNA,"Cells were directly dispensed in lysis buffer and cDNA libraries were generated using Smart-seq2 as previously described (Picelli et al., 2013, 2014, Petropoulos et al., 2016).",Smart-seq2,10090,"Sequenced reads were trimmed for adaptor sequence, and masked for low-complexity or low-quality sequence, then mapped to mm10 whole genome using STAR","Data was processed using in house pipeline rpkmforgene.py (Ramsköld D et al., 2009)",Genome_build: mm10,Supplementary_files_format_and_content: tab-delimited text files include RPKM values and counts for each sample,GPL13112,"Sophie,,Petropoulos",sophie.petropoulos@ki.se,Karolinska Institutet,liniskt Forskningscentrum  Novum,Stockholm,14186,Sweden,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05448920,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1979704,NONE,,GSM2253393,,E3.25-TE
SRX197970,D13_704_505B,GSM2253394,Public on Feb 14 2017,Jul 27 2016,May 15 2019,SRA,1,embryo,Mus musculus,Stage: early 32 cell,strain: CD1,lineage: ICM,embryo derived from: E32_2,"The zona pellucida was removed using acid Tyrode’s solution and embryos were washed in M2. Dissociation was performed by incubating embryos in TrypLE (Life Technologies) for 3-6 minutes at 37°C followed by pipetting through fine pulled glass capillaries. Individual cells were picked, aligned in rows in M2 media under oil and imaged using a Zeiss Axiovert 200 inverted microscope equipped with a Hamamatsu C9100-13 EM-CCD camera, a Quorum spinning disk confocal scan head and Volocity aquisition software (Perkin Elmer, version 6.3.1) Cdx2-eGFP was quantified by taking single plain images of individual cells, focusing on the plain with maximum eGFP intensity. Average nuclear Cdx2-eGFP measurements were corrected for cytoplasmic background. The cut off between “Cdx2-eGFP low” and “Cdx2-eGFP high” was set at 500 fluorescent intensity units and was based on the clearly distinct Cdx2-eGFP low cell population at the 64-cell and >64-cell stages.",total RNA,"Cells were directly dispensed in lysis buffer and cDNA libraries were generated using Smart-seq2 as previously described (Picelli et al., 2013, 2014, Petropoulos et al., 2016).",Smart-seq2,10090,"Sequenced reads were trimmed for adaptor sequence, and masked for low-complexity or low-quality sequence, then mapped to mm10 whole genome using STAR","Data was processed using in house pipeline rpkmforgene.py (Ramsköld D et al., 2009)",Genome_build: mm10,Supplementary_files_format_and_content: tab-delimited text files include RPKM values and counts for each sample,GPL13112,"Sophie,,Petropoulos",sophie.petropoulos@ki.se,Karolinska Institutet,liniskt Forskningscentrum  Novum,Stockholm,14186,Sweden,0,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05448915,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1979705,NONE,,GSM2253394,,E3.25-ICM
